,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
54,0.42249823,0.30810258,0.35178706,0.54814523,0.45764822,0.53570515,0.34527406,2020-02-21
55,0.38163468,0.17032735,0.1941288,0.4522034,0.4441705,0.40160587,0.30866972,2020-01-19
56,0.3485347,0.34973803,0.47834855,0.5490192,0.4267897,0.48579445,0.33602887,2020-02-10
57,0.40687856,0.31618255,0.38194513,0.56717527,0.5284533,0.5407828,0.3542525,2019-11-26
58,0.42328128,0.27669486,0.23176156,0.5308992,0.47978953,0.49986458,0.40129593,2020-03-12
59,0.43452996,0.33692873,0.37231132,0.7447886,0.60552716,0.5973408,0.4413316,2019-11-25
60,0.34384686,0.1745858,0.22809629,0.5445304,0.51651955,0.49682367,0.41571093,2019-11-24
61,0.43594182,0.33006325,0.279989,0.4992294,0.54644525,0.5269105,0.4711666,2020-03-15
62,0.3184936,0.15499562,0.17464107,0.3642649,0.35511282,0.36829454,0.24958998,2020-03-14
63,0.5271823,0.3469121,0.3529797,0.6502476,0.58291477,0.5838064,0.39738217,2019-11-23
64,0.5343514,0.3390793,0.3760826,0.70636827,0.6560154,0.67104197,0.4339954,2020-02-15
65,0.4174585,0.22401017,0.25494316,0.6407147,0.5612507,0.5413107,0.33026364,2020-03-13
66,0.43820956,0.36870795,0.41884804,0.4853158,0.45838797,0.43640134,0.44447657,2020-02-21
67,0.51031,0.28582785,0.34950763,0.56129885,0.5096448,0.5068407,0.41325894,2020-01-19
68,0.5491377,0.38636073,0.41355842,0.7740177,0.66028756,0.6415164,0.4898611,2020-02-10
69,0.25586393,0.11172306,0.25310934,0.50881934,0.50538504,0.46752727,0.26086465,2019-11-26
70,0.6194686,0.29124376,0.3305795,0.5860992,0.53267556,0.51273674,0.30704087,2020-03-12
71,0.28600436,0.14116801,0.3288117,0.5887817,0.5558601,0.51474154,0.27591383,2019-11-25
72,0.45976162,0.41752535,0.38674355,0.64493597,0.59686446,0.6104855,0.43394536,2019-11-24
73,0.4617082,0.31370047,0.305954,0.5387681,0.54076713,0.5657225,0.47374782,2020-03-15
74,0.49599934,0.28469208,0.2960259,0.66353875,0.64745307,0.6283166,0.46368247,2020-03-14
75,0.48337793,0.30304286,0.4091856,0.57541674,0.55759645,0.5110073,0.2537493,2019-11-23
76,0.3782863,0.23375773,0.24827117,0.5344938,0.5388637,0.53618914,0.3828779,2020-02-15
77,0.31795463,0.1614196,0.19200581,0.33505973,0.3501961,0.3138851,0.37087357,2020-03-13
78,0.49872133,0.31647354,0.38061613,0.6633418,0.62070847,0.5933261,0.35588953,2020-02-21
79,0.5548125,0.367266,0.38257328,0.7181517,0.7036157,0.6609344,0.45900202,2020-01-19
80,0.4236246,0.32151362,0.34199017,0.63414055,0.5462052,0.65432364,0.42831188,2020-02-10
81,0.34525084,0.1373028,0.13307804,0.4787778,0.4689348,0.42301938,0.33068952,2019-11-26
82,0.41640344,0.3215101,0.42785442,0.5563339,0.52001876,0.48898038,0.38836986,2020-03-12
83,0.33699116,0.18088286,0.35746527,0.61487573,0.46235067,0.52825373,0.35194007,2019-11-25
84,0.38974386,0.15088628,0.19694273,0.5032384,0.502093,0.4725618,0.30043066,2019-11-24
85,0.5585073,0.3645085,0.34318864,0.6015972,0.5606143,0.54975283,0.3813704,2020-03-15
86,0.34806815,0.23576458,0.32912913,0.63918966,0.63469887,0.60576254,0.3622667,2020-03-14
87,0.43065906,0.2773199,0.3180301,0.40441844,0.34007436,0.32053366,0.24707167,2019-11-23
88,0.5246417,0.38428438,0.3586971,0.65987957,0.58902335,0.62608784,0.47625035,2020-02-15
89,0.44357377,0.30992958,0.28598377,0.59553653,0.53397346,0.53074324,0.43073604,2020-03-13
90,0.53252256,0.30438575,0.34215122,0.6188917,0.6053569,0.5906425,0.41997823,2020-02-21
91,0.4702949,0.36991683,0.42828757,0.7301416,0.65518034,0.6865615,0.47812355,2020-01-19
92,0.40642905,0.32612905,0.33777192,0.62817734,0.60601324,0.60041934,0.4157947,2020-02-10
93,0.4364682,0.26541272,0.2864806,0.5820172,0.48985112,0.5244594,0.37884524,2019-11-26
94,0.4752399,0.27862448,0.25475082,0.49991134,0.47529548,0.37419,0.18383029,2020-03-12
95,0.4659472,0.24569464,0.22583817,0.5381381,0.5205263,0.4465461,0.30019826,2019-11-25
96,0.37302485,0.30021018,0.38728464,0.58677536,0.52853686,0.51285326,0.22288842,2019-11-24
97,0.38955644,0.22352096,0.3611376,0.59606385,0.5315589,0.54313755,0.33009213,2020-03-15
98,0.44465607,0.29990146,0.33696845,0.68362147,0.6153185,0.6207939,0.42952827,2020-03-14
99,0.6633778,0.41568118,0.37284786,0.5888611,0.5306975,0.5352182,0.33486536,2019-11-23
100,0.47432017,0.22982936,0.23985712,0.53500384,0.50783634,0.42274994,0.24446629,2020-02-15
101,0.38275707,0.30840075,0.3940619,0.672031,0.5916786,0.5835827,0.37561148,2020-03-13
102,0.51894736,0.2965819,0.27738565,0.5807292,0.5414057,0.53148246,0.43871284,2020-02-21
103,0.40018907,0.2261983,0.24982713,0.49482742,0.50755286,0.48925987,0.3749009,2020-01-19
104,0.28391173,0.13084975,0.25336215,0.54094636,0.5478727,0.48376822,0.30346915,2020-02-10
105,0.4561211,0.31017423,0.3710882,0.66295433,0.5909023,0.59184295,0.45010322,2019-11-26
106,0.47554266,0.27736562,0.30764142,0.65661895,0.6624251,0.62887293,0.4772002,2020-03-12
107,0.47239488,0.33120045,0.32659128,0.70578486,0.5759374,0.5912048,0.38915724,2019-11-25
108,0.47359607,0.3148138,0.32522127,0.6731927,0.6309878,0.65625566,0.46946773,2019-11-24
109,0.42112008,0.31474125,0.3093018,0.5266825,0.48744678,0.5316914,0.3940823,2020-03-15
110,0.3594008,0.20204173,0.26729298,0.5610396,0.5484706,0.5620133,0.30597126,2020-03-14
111,0.44452444,0.25322104,0.30183342,0.53992134,0.5141447,0.5201293,0.42452845,2019-11-23
112,0.43829843,0.2015562,0.19756813,0.48968023,0.4609539,0.44354436,0.20118631,2020-02-15
113,0.43594363,0.3721523,0.37130404,0.66700584,0.6144087,0.6118898,0.37331557,2020-03-13
114,0.27684057,0.14798935,0.11053754,0.39407897,0.41427216,0.41728917,0.25793883,2020-02-21
115,0.42230543,0.29907617,0.26393458,0.6246526,0.5906008,0.58740777,0.40936255,2020-01-19
116,0.30707175,0.15470585,0.31354037,0.5459961,0.5339599,0.5036738,0.32195115,2020-02-10
117,0.26820537,0.17145899,0.38859627,0.5178653,0.46441978,0.4528684,0.24025661,2019-11-26
118,0.43138108,0.3096845,0.34312928,0.62925947,0.6344669,0.65692437,0.5378434,2020-03-12
119,0.33326626,0.23114185,0.3083746,0.5669319,0.57915777,0.55030566,0.43734786,2019-11-25
120,0.49261263,0.3731981,0.325929,0.616233,0.589853,0.568785,0.46929088,2019-11-24
121,0.47975424,0.31748748,0.42097944,0.6742252,0.53995264,0.5928369,0.40804958,2020-03-15
122,0.41364783,0.32947516,0.44202542,0.6043953,0.52934283,0.54872555,0.40021703,2020-03-14
123,0.4049172,0.25164917,0.30107495,0.46379054,0.401462,0.36255822,0.24363437,2019-11-23
124,0.48635453,0.33195767,0.3168723,0.6675345,0.6296106,0.610322,0.3677076,2020-02-15
125,0.3901786,0.3685074,0.4784991,0.72997445,0.59707695,0.6269939,0.42195874,2020-03-13
126,0.41392905,0.264681,0.2489222,0.5295635,0.5131451,0.5452075,0.3899761,2020-02-21
127,0.530758,0.27142194,0.30705872,0.6373305,0.5843425,0.5803363,0.34721324,2020-01-19
128,0.2828898,0.1320086,0.2868254,0.6167525,0.59152246,0.5498883,0.30145,2020-02-10
129,0.3467854,0.21059778,0.19056334,0.51951545,0.5458366,0.5329617,0.37684822,2019-11-26
130,0.4842931,0.26537266,0.27149302,0.6517857,0.62842697,0.560317,0.4430299,2020-03-12
131,0.4848225,0.3804812,0.4002478,0.6319542,0.588724,0.5145141,0.44327822,2019-11-25
132,0.32868814,0.15947352,0.21791594,0.3374781,0.28799096,0.3112756,0.21692055,2019-11-24
133,0.43051764,0.24362817,0.28943774,0.5111046,0.5225675,0.5552881,0.33373737,2020-03-15
134,0.46969417,0.25433993,0.27569237,0.5726196,0.513813,0.5097983,0.3065318,2020-03-14
135,0.31108898,0.17346478,0.25088754,0.45053074,0.42425516,0.3713583,0.2716585,2019-11-23
136,0.37168914,0.14758973,0.1470363,0.4029972,0.4069024,0.3583261,0.21837422,2020-02-15
137,0.4673696,0.2801395,0.32073015,0.6789443,0.5996395,0.5868393,0.3909688,2020-03-13
138,0.38406128,0.23209979,0.3004331,0.6186193,0.6058676,0.62125236,0.46501297,2020-02-21
139,0.5581779,0.40942192,0.35061786,0.5845367,0.57326794,0.59287494,0.3977912,2020-01-19
140,0.45301032,0.19373545,0.21515352,0.53683394,0.5107858,0.53515327,0.33634385,2020-02-10
141,0.4262746,0.35061234,0.35049513,0.6708313,0.5820073,0.59342366,0.37775394,2019-11-26
142,0.39239946,0.2776189,0.2367392,0.58561605,0.55388176,0.52258116,0.37288985,2020-03-12
143,0.42796844,0.32417375,0.40848905,0.73088866,0.6416567,0.6749918,0.41136968,2019-11-25
144,0.5143884,0.32823732,0.39878273,0.69617885,0.6366493,0.60579723,0.42742243,2019-11-24
145,0.19126615,0.13756801,0.23393892,0.44561273,0.45632038,0.45965484,0.24608628,2020-03-15
146,0.3148582,0.19750474,0.21315089,0.38491505,0.40162623,0.43748745,0.33577132,2020-03-14
147,0.44540575,0.21340989,0.2205783,0.5580484,0.5532095,0.5380212,0.38615745,2019-11-23
148,0.6068067,0.445917,0.5121667,0.54971486,0.49531344,0.506775,0.3790838,2020-02-15
149,0.42001048,0.29395112,0.38912317,0.66657984,0.6086086,0.5886482,0.468737,2020-03-13
150,0.4034538,0.275594,0.25669163,0.56110984,0.571481,0.55419284,0.44714123,2020-02-21
151,0.5113485,0.22806978,0.25845543,0.62698615,0.5606051,0.56149054,0.32797736,2020-01-19
152,0.29309317,0.11389695,0.32058018,0.5730228,0.5578224,0.52235067,0.26886377,2020-02-10
153,0.358991,0.32143447,0.3040307,0.6130018,0.4753161,0.4934431,0.30428606,2019-11-26
154,0.38092786,0.23251876,0.32495072,0.6141584,0.6082097,0.577707,0.42635772,2020-03-12
155,0.36908934,0.24446315,0.27614793,0.66283876,0.6058951,0.5546954,0.35133117,2019-11-25
156,0.49430096,0.23554644,0.26354334,0.52366316,0.47524762,0.43405625,0.31546608,2019-11-24
157,0.4691896,0.2887262,0.3474025,0.6550505,0.6633847,0.6218456,0.46449202,2020-03-15
158,0.4557739,0.3307088,0.31298488,0.5723148,0.55346817,0.5229742,0.37958464,2020-03-14
159,0.3757692,0.19299959,0.26945066,0.61825234,0.5749258,0.5665445,0.34289402,2019-11-23
160,0.34503874,0.2265565,0.29811186,0.6507538,0.6024863,0.6126882,0.4275032,2020-02-15
161,0.41666892,0.3623218,0.37408993,0.63613504,0.5472439,0.5639865,0.36985004,2020-03-13
162,0.53583986,0.38571537,0.394591,0.685052,0.62471306,0.6684457,0.49597085,2020-02-21
163,0.40034056,0.1645868,0.26488265,0.43975684,0.4234851,0.3644255,0.3642357,2020-01-19
164,0.49529308,0.24700421,0.2667251,0.5657535,0.5006702,0.5088517,0.3004198,2020-02-10
165,0.48936775,0.38233307,0.4048126,0.6630194,0.65099585,0.6914587,0.4371188,2019-11-26
166,0.45399222,0.24946629,0.33936968,0.6292295,0.5502967,0.57179326,0.3609216,2020-03-12
167,0.3994966,0.2881481,0.37457967,0.56982887,0.5145307,0.5094077,0.38718882,2019-11-25
168,0.46564957,0.28401878,0.3226169,0.60736233,0.6223499,0.6076686,0.42585513,2019-11-24
169,0.4886839,0.29751834,0.24999124,0.61310893,0.5875856,0.5863748,0.4733827,2020-03-15
170,0.43519405,0.24213573,0.24911352,0.5458024,0.53782755,0.6110274,0.43745452,2020-03-14
171,0.47224256,0.27528265,0.24873833,0.5414202,0.47845283,0.45721257,0.25176397,2019-11-23
172,0.40486932,0.2206227,0.25945315,0.4781151,0.42164513,0.42180344,0.20384546,2020-02-15
173,0.33397892,0.24783127,0.37802452,0.66200864,0.6086307,0.5816267,0.346036,2020-03-13
174,0.48494735,0.39491525,0.45154294,0.7519801,0.54311764,0.5201921,0.37464413,2020-02-21
175,0.4097614,0.32937232,0.452653,0.60254484,0.5497375,0.55910784,0.36287993,2020-01-19
