,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
63,0.73300767,0.6786835,0.560799,0.58830357,0.6323588,0.63648236,0.9999998,2019-11-23
64,0.7335695,0.6910026,0.57650816,0.6167338,0.6638273,0.6450561,0.9999999,2020-02-15
65,0.72248685,0.66856563,0.5474589,0.63096166,0.63703144,0.62233824,0.9999999,2020-03-13
66,0.7601782,0.7295654,0.61252946,0.6005867,0.65852153,0.6427988,1.0,2020-02-21
67,0.77265644,0.71752757,0.62786126,0.6334287,0.67618895,0.67863196,0.9999997,2020-01-19
68,0.7412933,0.69926393,0.5987847,0.6351726,0.6599857,0.6531626,1.0,2020-02-10
69,0.7262231,0.6780062,0.5644132,0.61304957,0.65803707,0.623081,1.0000002,2019-11-26
70,0.78228104,0.7321331,0.6297942,0.6243483,0.67107904,0.66282016,1.0000001,2020-03-12
71,0.71918595,0.676999,0.57272077,0.60633063,0.65181077,0.62422734,1.0000001,2019-11-25
72,0.7454734,0.70802516,0.59592867,0.632113,0.67514944,0.67606056,0.99999994,2019-11-24
73,0.771371,0.7347522,0.6108329,0.6112094,0.6538553,0.64626706,0.9999998,2020-03-15
74,0.7406054,0.6908401,0.5907116,0.5863553,0.65026367,0.6565205,0.9999999,2020-03-14
75,0.7524678,0.72620404,0.6051814,0.6209375,0.67519796,0.65531355,1.0000001,2019-11-23
76,0.7411672,0.702075,0.6045112,0.6167404,0.6658351,0.6599646,1.0,2020-02-15
77,0.7562232,0.7124928,0.6148219,0.5971912,0.6441597,0.642639,1.0000002,2020-03-13
78,0.7336919,0.6882431,0.56233335,0.58723056,0.63797224,0.6372871,1.0,2020-02-21
79,0.7525049,0.7157028,0.61296827,0.6260289,0.67745364,0.6813578,0.9999999,2020-01-19
80,0.7541503,0.7176666,0.6073071,0.6444929,0.67700183,0.6659076,1.0,2020-02-10
81,0.7432147,0.701689,0.589191,0.57773066,0.6382023,0.61109877,0.99999994,2019-11-26
82,0.7953491,0.7550449,0.6753876,0.6709759,0.72194076,0.7047069,0.9999998,2020-03-12
83,0.73642766,0.69049776,0.58341104,0.6241448,0.65162337,0.64502895,1.0,2019-11-25
84,0.73458284,0.68587637,0.5737184,0.5809727,0.6253517,0.61070466,1.0000001,2019-11-24
85,0.7864126,0.74165267,0.6325352,0.62454265,0.66692984,0.659336,1.0,2020-03-15
86,0.7540822,0.7123333,0.62771726,0.63458407,0.6907476,0.65605026,1.0000001,2020-03-14
87,0.7636117,0.7137514,0.59552133,0.5904038,0.6346088,0.63434386,1.0000002,2019-11-23
88,0.7814127,0.7418653,0.6610408,0.6575598,0.6950892,0.7048075,1.0000001,2020-02-15
89,0.7628454,0.71780497,0.6134586,0.60139453,0.65003705,0.64799273,1.0000001,2020-03-13
90,0.7446779,0.70447206,0.5794928,0.5882473,0.64432347,0.63530225,1.0000001,2020-02-21
91,0.7954733,0.7565001,0.67051935,0.6805535,0.717031,0.71694875,0.99999994,2020-01-19
92,0.72528666,0.6767948,0.5583709,0.5960749,0.65314007,0.64892364,1.0,2020-02-10
93,0.73900145,0.6917169,0.60696304,0.6189337,0.66459614,0.6488534,1.0000002,2019-11-26
94,0.7440616,0.6689414,0.54624194,0.56536883,0.6127042,0.6071547,1.0,2020-03-12
95,0.7505895,0.6989392,0.57051224,0.5933107,0.64151305,0.62407446,0.9999999,2019-11-25
96,0.7539698,0.71285397,0.63634825,0.63596714,0.6765232,0.6697202,1.0,2019-11-24
97,0.7296304,0.68738174,0.56470186,0.58218247,0.6373095,0.6200174,0.99999994,2020-03-15
98,0.74076986,0.6840244,0.6128611,0.6113602,0.6525841,0.6268848,0.99999994,2020-03-14
99,0.7809684,0.725954,0.607216,0.61505103,0.6520764,0.6490427,0.9999999,2019-11-23
