,political instability,geopolitical factors,currency fluctuations,investment demand,supply and demand,industrial demand,natural disasters,date
0,,,,,,,,2019-11-24
1,0.44520678313646267,0.46146355611116757,0.34128416474299117,0.3303686821699431,0.3351092172856122,0.3419274251837795,0.5194045814981123,2020-03-15
2,0.2295615619807164,0.2502573869299102,0.3615887644938967,0.41112741335740627,0.4064896796910536,0.3959264344889743,0.21266694043250994,2020-03-14
3,,,,,,,,2019-11-23
4,,,,,,,,2020-02-15
5,0.35521741434083803,0.2796506452831449,0.29232602659131846,0.35326040044081597,0.3052073636354878,0.3061603700326179,0.306257716640194,2020-03-13
6,,,,,,,,2020-02-21
7,0.37129145531749175,0.35506886045404823,0.4292019603127137,0.39262285023448623,0.38686139970885924,0.3913994520940866,0.4027685069552956,2020-01-19
8,0.38559598792136146,0.37605019902967596,0.31284421373710986,0.35572717007195304,0.3451414514099625,0.35233734069530603,0.36576793007964786,2020-02-10
9,,,,,,,,2019-11-26
10,-2.262681314907065,-2.6826803446972067,-3.2679636492562967,-3.2496018795637083,-3.2488126430713473,-3.203219774558781,-2.884403262279229,2020-03-12
11,0.33261651480380966,0.3262071941848018,0.3108241343013711,0.3648424851093585,0.34845891079059127,0.38235753440961984,0.32890748719217255,2019-11-25
12,0.4760373766233898,0.4104438867068354,0.2734525097424847,0.2900155234935599,0.2828066646737688,0.3006669762835621,0.3704503201453258,2019-11-24
13,0.4087327792708592,0.4325339891948833,0.3267959144424201,0.3152407384328279,0.32710463294267345,0.3447665891641194,0.5329145256945698,2020-03-15
14,0.4502150676309692,0.4774121206573631,0.461328726502072,0.39133750937763573,0.40583068771255976,0.3874679104677607,0.5593625421958337,2020-03-14
15,0.3989879647016476,0.38416796250021296,0.30893004949334085,0.34019191631190254,0.33444794194152827,0.3403304727673384,0.35861504983637554,2019-11-23
16,0.2842227652728446,0.2323693865155588,0.2639816248856013,0.30024833630991266,0.2889983507224574,0.2659414010923589,0.2543462996290325,2020-02-15
17,,,,,,,,2020-03-13
18,0.4599721040261797,0.4957624071016703,0.3353759903668606,0.320734263244853,0.3188484559211188,0.343671673877502,0.4200149835537661,2020-02-21
19,,,,,,,,2020-01-19
20,0.28854698909471094,0.27150783708762044,0.3558480342340724,0.4019025466456958,0.36276676723467177,0.34795423493345046,0.271108090827937,2020-02-10
21,0.37002075797711276,0.3922974834773883,0.34381660472382003,0.3530230379434313,0.3605655415840358,0.35913902324070457,0.3885659335135434,2019-11-26
22,0.44819158748841564,0.3932213667051461,0.28820452377317235,0.30343401078704674,0.3013487920642078,0.3122968951603943,0.3444602480301734,2020-03-12
23,0.19810878398975051,0.2397774854254125,0.338167345604673,0.3859362428148389,0.3984635962624347,0.38968386898688157,0.17752477114851326,2019-11-25
24,0.42664198781206447,0.41024696813721223,0.3091486502978552,0.3323906951153422,0.3221232127266827,0.33744629703683304,0.39265975211212417,2019-11-24
25,0.39487058177831597,0.40500997180070736,0.3456277203437842,0.33189323421519656,0.3433638592489109,0.3547826494799875,0.4653531456924399,2020-03-15
26,0.44753262379322867,0.42479582993055404,0.333575159860559,0.31637966825841457,0.31982440791294686,0.32311961582279725,0.45795880460732025,2020-03-14
27,0.3228699845957639,0.3533003420559155,0.36137491836117275,0.3730703894179335,0.3936484888935493,0.39081069012980446,0.3498468810615291,2019-11-23
28,0.38902005149705265,0.4773280357273019,0.3451320083871268,0.3265734501327424,0.35419369451320976,0.37670063520905245,0.3707385762653893,2020-02-15
29,0.3765485735797021,0.43103794999257067,0.3477725191881427,0.3261147710039035,0.3582126242196345,0.35258248117165425,0.4709872854001755,2020-03-13
30,0.3769878687079083,0.3974044714527524,0.4473970217508417,0.3888283871839542,0.39927714406427967,0.38733076580656883,0.3949439164596474,2020-02-21
31,0.37752104234784006,0.38702152238130405,0.30145588771975307,0.3725735238927066,0.3383791772782438,0.3617319136597792,0.37282835611727705,2020-01-19
32,,,,,,,,2020-02-10
33,,,,,,,,2019-11-26
34,-0.17216410788475622,-0.264736530461587,0.17154228495678941,-0.01498545444152948,0.013883890234503688,-0.07247273408433592,-0.14207023268546498,2020-03-12
35,,,,,,,,2019-11-25
36,0.4138103068912308,0.35049249011326944,0.24922677892960518,0.28574111218790854,0.2653695316929207,0.2655158634280309,0.2858366749578344,2019-11-24
37,-2.7760301050058507,-2.9899056149519705,-2.974842731857008,-2.907817639682821,-2.9927738508537733,-3.03123061138644,-2.6702252291697235,2020-03-15
38,0.4144574207592962,0.3839611783537655,0.3019351760047393,0.32785483089230055,0.3198194635896866,0.33345849455786714,0.333248378804659,2020-03-14
39,0.3681718615774877,0.361616799222074,0.43145771974379504,0.41686168523230027,0.4040187080132683,0.39661882830026207,0.3853952411649716,2019-11-23
40,0.44452347939692605,0.46910711813361505,0.35164303327271795,0.2895438788177719,0.3062759142217346,0.3148619908377465,0.6054065493449536,2020-02-15
41,0.46019070666625134,0.4790688399508285,0.49403874443695117,0.33892510162811795,0.3708931109097327,0.33630491303834176,0.6483101478758119,2020-03-13
42,-2.861820675402104,-2.9133313876248645,-3.0466587965583587,-2.871100187086885,-2.960636181161167,-3.041679401806855,-2.734381567465485,2020-02-21
43,0.42148660605569743,0.39869124222953284,0.31292602480213527,0.36247685249336187,0.33944453879501824,0.36271142615539204,0.3757591084127874,2020-01-19
44,0.32360409484861163,0.34930669376833473,0.4026583680085926,0.3643366408423197,0.3830299501952552,0.36887930654439954,0.3248875255767295,2020-02-10
