,Name,Kurs,%,Absolut,Zeit,Handelsvolumen,ISIN
0,ADIDAS,"175,66€","-1,06%","-1,88",16:11,104 Tsd.,DE000A1EWWW0
1,AIRBUS GROUP,"148,22€","-0,60%","-0,90",16:11,92 Tsd.,NL0000235190
2,ALLIANZ,"241,55€","-0,06%","-0,15",16:12,183 Tsd.,DE0008404005
3,BASF,"44,54€","-0,52%","-0,23",16:11,577 Tsd.,DE000BASF111
4,BAYER,"33,60€","-1,90%","-0,65",16:11,2 Mio.,DE000BAY0017
5,BEIERSDORF,"135,00€","-2,28%","-3,15",16:09,128 Tsd.,DE0005200000
6,BMW ST,"95,66€","-1,23%","-1,19",16:11,378 Tsd.,DE0005190003
7,BRENNTAG SE NA O.N.,"82,06€","-0,05%","-0,04",16:07,86 Tsd.,DE000A1DAHH0
8,COMMERZBANK,"11,48€","+1,19%","+0,14",16:10,4 Mio.,DE000CBK1001
9,CONTINENTAL,"73,68€","+1,21%","+0,88",16:10,237 Tsd.,DE0005439004
10,COVESTRO AG O.N.,"48,70€","-1,06%","-0,52",16:11,194 Tsd.,DE0006062144
11,DAIMLER TRUCK HLDG NA ON,"32,03€","-0,84%","-0,27",16:11,570 Tsd.,DE000DTR0CK8
12,DR.ING.H.C.F.PORSCHE VZO,"73,74€","-2,33%","-1,76",16:11,561 Tsd.,DE000PAG9113
13,DT. BANK,"11,97€","-0,70%","-0,08",16:11,3 Mio.,DE0005140008
14,DT. BÖRSE,"187,65€","+0,16%","+0,30",16:11,111 Tsd.,DE0005810055
15,DT. POST,"44,90€","-0,62%","-0,28",16:12,488 Tsd.,DE0005552004
16,DT. TELEKOM,"22,67€","+0,73%","+0,17",16:11,2 Mio.,DE0005557508
17,E.ON,"12,67€","+0,04%","+0,01",16:09,1 Mio.,DE000ENAG999
18,FRESENIUS,"26,98€","-3,23%","-0,90",16:11,500 Tsd.,DE0005785604
19,HANNO. RÜCK,"223,60€","+0,22%","+0,50",16:11,20 Tsd.,DE0008402215
20,HEIDELBERG MATERIALS O.N.,"84,90€","-0,05%","-0,04",16:12,92 Tsd.,DE0006047004
21,Henkel VZ,"73,90€","-0,75%","-0,56",16:10,93 Tsd.,DE0006048432
22,INFINEON,"34,03€","-0,69%","-0,23",16:12,1 Mio.,DE0006231004
23,MERCEDES-BENZ GRP NA O.N.,"61,43€","+0,11%","+0,07",16:11,850 Tsd.,DE0007100000
24,MERCK,"144,50€","-0,48%","-0,70",16:11,60 Tsd.,DE0006599905
25,MTU AERO,"204,70€","+0,20%","+0,40",16:10,32 Tsd.,DE000A0D9PT0
26,MÜNCH. RÜCK,"384,50€","+0,79%","+3,00",16:11,139 Tsd.,DE0008430026
27,PORSCHE AUTOM.HLDG VZO,"45,26€","+0,64%","+0,29",16:11,433 Tsd.,DE000PAH0038
28,"QIAGEN NV EO -,01","40,80€","-0,51%","-0,21",16:10,71 Tsd.,NL0012169213
29,RHEINMETALL,"314,90€","-0,28%","-0,90",16:10,113 Tsd.,DE0007030009
30,RWE ST,"38,72€","-1,25%","-0,49",16:11,620 Tsd.,DE0007037129
31,SAP,"144,38€","-0,33%","-0,48",16:11,330 Tsd.,DE0007164600
32,SARTORIUS AG VZO O.N.,"310,00€","-1,71%","-5,40",16:12,20 Tsd.,DE0007165631
33,SIEMENS,"162,36€","-0,47%","-0,76",16:11,339 Tsd.,DE0007236101
34,SIEMENS ENERGY AG NA O.N.,"12,02€","-3,41%","-0,42",16:11,3 Mio.,DE000ENER6Y0
35,SIEMENS HEALTH.AG NA O.N.,"52,62€","-1,39%","-0,74",16:11,92 Tsd.,DE000SHL1006
36,SYMRISE,"97,64€","+0,12%","+0,12",16:12,62 Tsd.,DE000SYM9999
37,VOLKSWAGEN VZ,"111,58€","-0,36%","-0,40",16:11,295 Tsd.,DE0007664039
38,VONOVIA,"27,59€","-0,54%","-0,15",16:11,1 Mio.,DE000A1ML7J1
39,ZALANDO SE,"17,79€","-2,49%","-0,45",16:11,886 Tsd.,DE000ZAL1111
