,political instability,geopolitical factors,currency fluctuations,investment demand,supply and demand,industrial demand,natural disasters,date
12580,0.018096114395411526,0.01945656216258564,0.05077705445319772,0.07252677931286686,0.07075624425588213,0.055692486280911446,0.0007882775349676098,2020-01-27
12581,0.03127244654096265,0.029274620874238055,0.058203399759510784,0.05301632097393511,0.051582604131043444,0.05486831400557952,0.03480741867750776,2020-01-29
12582,0.12338063426227833,0.11251380578158032,0.037562636397667604,0.06083547618277565,0.0554872326414194,0.07663215586985389,0.07992370405771027,2020-01-20
12583,0.11346868069264533,0.09660586406577285,0.10188116299906516,0.08873324931521186,0.07883790304561891,0.07011796034524909,0.09579727576143152,2020-03-05
12584,0.006241995554282261,0.02025693039623372,0.02441474678191726,0.03381362322996406,0.030049257713036504,0.0477443555420986,0.017507523160690826,2020-02-05
12585,0.06575591670085758,0.04969549140642418,0.0050653658414347505,0.02191865171449326,0.014578010563773799,0.03772439002949774,0.041053079574275494,2020-01-04
12586,0.01815230025468874,0.026845714791884617,0.05740558693755496,0.05918939390453397,0.06578976416913015,0.0648865085652141,0.010562370904169768,2020-01-31
12587,0.03352386376320538,0.016623667855137192,0.07825713604140079,0.04165835975614611,0.05029973877746779,0.032747174931869905,0.050499755007102576,2020-01-03
12588,0.3982155925930964,0.3845657273950461,0.42590343518023344,0.45884715586001595,0.43790899376613746,0.4155982231911318,0.35525669692298906,2020-02-07
12589,0.019031698945918295,0.03203037613838359,0.0416710660327982,0.06796466640191498,0.053347187859869596,0.03257770958481877,-0.01203664184444365,2019-12-06
12590,0.5426652916642979,0.5964923242279326,0.4734029833639201,0.5453576322949422,0.5860722490636936,0.6131018422232677,0.6107096576675217,2020-03-02
12591,0.40242822748070495,0.4426645340725959,0.5364615207964512,0.625945812913994,0.618371212729048,0.618795734348157,0.3589004800877972,2019-12-03
12592,0.01900405241023509,0.047094334601809805,0.039834337399734326,0.056236611329267876,0.0747845949630156,0.07287871027604191,0.0446918674132357,2020-01-27
12593,0.5250266100737615,0.42238993132118885,0.2589380042241876,0.3044733577278739,0.2989790628865081,0.31996718668583884,0.34858611537320205,2020-01-29
12594,0.2385317846492884,0.23857778457134615,0.24143031594458095,0.28808545857021783,0.2879283678604293,0.26973522898277047,0.20021863724638944,2020-01-20
