,political instability,geopolitical factors,currency fluctuations,investment demand,supply and demand,industrial demand,natural disasters,date
0,,,,,,,,2019-11-24
1,0.8742210984241187,0.8702652414727083,0.9027286245994947,0.9526205056429322,0.9426287090277867,0.9385220442157142,0.7709171699339106,2020-03-15
2,0.8253124417497736,0.8224965732651403,0.9076086359540928,0.9732084726907234,0.9606067609225832,0.9520521251862851,0.7101765287414482,2020-03-14
3,,,,,,,,2019-11-23
4,,,,,,,,2020-02-15
5,0.8538113758289331,0.8291444700157793,0.8909620163919385,0.9584563321164072,0.9350975575255857,0.9295601917947006,0.7287095126191562,2020-03-13
6,,,,,,,,2020-02-21
7,0.8574569922134887,0.8462018680608813,0.9238588042590248,0.9684910714858418,0.9556631359552759,0.9509178369994593,0.7478207220076277,2020-01-19
8,0.8607012814690542,0.8509472341875197,0.8958933613815272,0.9590851900879677,0.9451554512150798,0.941130369842055,0.740493813069715,2020-02-10
9,,,,,,,,2019-11-26
10,0.26006805301949026,0.15915170072348186,0.03528132054271015,0.03997223995947271,0.03997368241252955,0.050244105744437065,0.09689010821196592,2020-03-12
11,0.848685458221932,0.8396742019170481,0.8954078551068637,0.9614089735707061,0.9459909943720443,0.948652279168414,0.7331946536713269,2019-11-25
12,0.8812135228508551,0.8587260820377214,0.8864259517734079,0.9423332030951102,0.9294556645643711,0.9281837579825936,0.7414210268733892,2019-11-24
13,0.8659487401356262,0.8637222181852273,0.8992465157747741,0.9487639120266012,0.9406126555046779,0.9392334298325431,0.7735924290580156,2020-03-15
14,0.8753569847913494,0.8738723410718701,0.9315801573373388,0.9681633972540044,0.9604407856460387,0.949932743435192,0.7788297043887339,2020-03-14
15,0.8637386017074877,0.8527832352442825,0.8949526304049167,0.9551247602027017,0.9424621586573904,0.9381219091803012,0.7390773891484775,2019-11-23
16,0.8377096839000666,0.8184508299045063,0.884149717510892,0.9449418722751677,0.9310151172401936,0.9194828605007312,0.7184299370720753,2020-02-15
17,,,,,,,,2020-03-13
18,0.8775698951477898,0.878022640033638,0.901308652849538,0.9501643860823866,0.9385332352551556,0.9389590860496763,0.7512358948024066,2020-02-21
19,,,,,,,,2020-01-19
20,0.8386904242900145,0.8273028045735352,0.9062289077548025,0.9708567610047126,0.9495946048977638,0.9400321316220664,0.7217491317474294,2020-02-10
21,0.8571687961680372,0.8546218955057253,0.9033372717047267,0.9583958208725741,0.949040199005091,0.9428346106560899,0.7450083074163237,2019-11-26
22,0.8748980564874941,0.8548308509142741,0.8899714536230435,0.9457540019383738,0.9341257285739288,0.931097769667426,0.7362744343670751,2020-03-12
23,0.8181789049527605,0.8201263255599858,0.9019795276967328,0.9667864427578636,0.9585852925889643,0.9504879776622067,0.7032176244224719,2019-11-25
24,0.8700105752514549,0.8586815448073332,0.8950051689637281,0.9531359810011749,0.9393580232406812,0.9373992453449975,0.7458189714278861,2019-11-24
25,0.8628047731407578,0.8574970891573277,0.90377255557628,0.9530091624086937,0.9447077426539101,0.9417430704504642,0.7602138247011434,2020-03-15
26,0.8747486025419996,0.8619720725153921,0.9008758409041527,0.9490542614337073,0.9387790408294633,0.9338095284342687,0.7587495863470058,2020-03-14
27,0.846474930684356,0.8458018808403049,0.9075572401340012,0.9635065278572402,0.9573725482715467,0.9507703158291336,0.7373411034040293,2019-11-23
28,0.86147786417725,0.8738533235159865,0.9036534160706126,0.9516529803862608,0.94743537054861,0.9472348771602873,0.741478107776468,2020-02-15
29,0.8586493144490794,0.8633838578023,0.9042880369372623,0.951536048499749,0.9484475876790238,0.9411917926447477,0.7613295053760906,2020-03-13
30,0.8587489472370865,0.8557769470607102,0.9282318087754874,0.9675237422683102,0.9587901946603097,0.9498983802423393,0.7462712850290977,2020-02-21
31,0.8588698718110858,0.8534286271648815,0.8931562889468889,0.9633798610447465,0.9434522888766749,0.9434842895625976,0.7418919290724583,2020-01-19
32,,,,,,,,2020-02-10
33,,,,,,,,2019-11-26
34,0.7342004627343363,0.7060199870737686,0.8619328290226547,0.8645787610559501,0.8617241392752717,0.8346892557764694,0.6399309492451286,2020-03-12
35,,,,,,,,2019-11-25
36,0.86710033094672,0.8451668267207014,0.8806035350357907,0.9412435198148568,0.9250639070573161,0.9193762370806265,0.7246657077529016,2019-11-24
37,0.14363978442828101,0.08966631562951949,0.10573005741647983,0.12710390442047198,0.1044602175014038,0.09333799457173922,0.13930195898847197,2020-03-15
38,0.8672470973338108,0.8527364667084933,0.8932714811841924,0.9519796450634487,0.9387777955405262,0.9364000549685574,0.7340542434463979,2020-03-14
39,0.8567494637165641,0.8476828206091227,0.9244009539084621,0.9746703208236436,0.9599844161582488,0.9522256125233823,0.7443804422296214,2019-11-23
40,0.8740661241203888,0.8719939920086878,0.9052182770263346,0.9422129658786431,0.9353666852006439,0.9317404842775345,0.7879474067600243,2020-02-15
41,0.8776194745514699,0.8742470425995262,0.9394416892507763,0.9548018088811303,0.9516413250139123,0.9371132582849235,0.7964432407736626,2020-03-13
42,0.12418235555080004,0.1069851698685746,0.08846977080730811,0.13646434994764622,0.11255448691408633,0.09071992838401106,0.12659762602461616,2020-02-21
43,0.8688413270066017,0.8560679770364609,0.8959130238684097,0.9608058986383837,0.9437206133451618,0.9437297178315205,0.7424722809751043,2020-01-19
44,0.8466414279808192,0.8448986342129612,0.9174793122510546,0.961280017791585,0.95469813802914,0.9452751521302946,0.7323986149287622,2020-02-10
45,0.8116789141209491,0.8179248832397845,0.9018111469555627,0.965276869296963,0.9592067696191672,0.9536347752941949,0.697855743300163,2019-11-26
46,,,,,,,,2020-03-12
