,political instability,geopolitical factors,currency fluctuations,investment demand,supply and demand,industrial demand,natural disasters,date
0,,,,,,,,2019-11-24
1,0.9020883563556348,0.8077691778578061,0.8799152613791144,0.9188025662790197,0.8809235325543968,0.923254639964988,0.4088616100037826,2020-03-15
2,0.8449927130140055,0.7628667235882646,0.9156492786978755,0.9674986348025276,0.9318568042440142,0.9554911009211284,0.3270417215358756,2020-03-14
3,,,,,,,,2019-11-23
4,,,,,,,,2020-02-15
5,0.16913021933341035,0.07520843221154953,0.09194025778110947,0.12173935963830018,0.060927670039072034,0.09810186899476146,0.10612843439552473,2020-03-13
6,,,,,,,,2020-02-21
7,0.8402657654614158,0.7396025024340805,0.9010995494191595,0.9602440108838968,0.9171801418417264,0.9471608813389533,0.310928845417921,2020-01-19
8,0.8828816659843663,0.7889793478463935,0.8753152802956928,0.932819446970092,0.887958023919382,0.9307078991880092,0.36549242876429405,2020-02-10
9,,,,,,,,2019-11-26
10,0.8947013690439997,0.7889211027714917,0.8575812558514555,0.9076432567486785,0.8640805777194878,0.9047947601727426,0.3593991432233362,2020-03-12
11,0.8561646828458063,0.7706309978390136,0.8865553134139014,0.948028074377498,0.9084155117028933,0.9459707354853611,0.335172322249973,2019-11-25
12,0.8936372383990402,0.7924726002546516,0.8656946100212457,0.9138486950400856,0.8740302405541805,0.9130179028633146,0.3629658656141211,2019-11-24
13,0.8940243610510078,0.7923001104064975,0.8859820032545295,0.9170475461378935,0.8839005150914433,0.9229068971368011,0.43011128966832374,2020-03-15
14,0.868966324565557,0.7757596228741517,0.926692548460236,0.9569969866467295,0.9246682355012428,0.9459890945758097,0.3624523293446677,2020-03-14
15,0.8875467155193724,0.7962062873305097,0.8866792210597059,0.9311515648855324,0.895781906659854,0.9321117035179401,0.3753534174701497,2019-11-23
16,0.8571193525911546,0.7488813279212867,0.872036363663112,0.9378807797813222,0.8902713371730059,0.9273803724776122,0.31314190677391307,2020-02-15
17,0.85097551466154,0.7550874738714735,0.9220707775240035,0.9538249070444804,0.9253170922486696,0.9428124093519034,0.3533860194594581,2020-03-13
18,0.8987498519196239,0.8236727197382908,0.8770689169277827,0.9139379996304674,0.8817752587014362,0.9235677105353607,0.3817329676795474,2020-02-21
19,,,,,,,,2020-01-19
20,0.8386462534287404,0.7422416045738719,0.8969548063151949,0.9654685601269458,0.905713838411844,0.9343204964459829,0.3200257986367662,2020-02-10
21,0.8790421551201343,0.7851508517766477,0.8709543109433344,0.9190413627127824,0.8842782890370041,0.9246988108555075,0.35779038471735003,2019-11-26
22,0.8958086289483037,0.7946261762560555,0.8650203870245855,0.9125372870083563,0.8722219202843942,0.911996445494535,0.36680793114890614,2020-03-12
23,0.8181981693044519,0.7294623436146548,0.8941668107244843,0.9599780669844816,0.9185238036456161,0.946291235496378,0.29462172340077614,2019-11-25
24,0.8949870742858678,0.8029610849400403,0.8809769232009058,0.9242758418216318,0.8882149919036497,0.92837100734197,0.3826593959240606,2019-11-24
25,,,,,,,,2020-03-15
26,,,,,,,,2020-03-14
27,0.8575816902156521,0.7687550611320987,0.8922712652943133,0.9495263516307737,0.9225580653586137,0.9540464286388209,0.3409568761948745,2019-11-23
28,0.8825626427023712,0.8039596025428669,0.8870738380693668,0.9327844375680909,0.9066039241120231,0.9442915884667171,0.3573680708478965,2020-02-15
29,0.8881698137485778,0.7907269935451376,0.8888535448127601,0.9298421619122754,0.8944961926621905,0.9319516972158476,0.39699693281573095,2020-03-13
30,,,,,,,,2020-02-21
31,0.8701343821271448,0.7905671141301744,0.8879346326285622,0.9452428660931488,0.9047615058333225,0.9435002576443722,0.36578179407204786,2020-01-19
32,,,,,,,,2020-02-10
33,,,,,,,,2019-11-26
34,0.750673212643315,0.6669072945695842,0.8901060874123792,0.9273034063120129,0.8981139227023807,0.8963228719978855,0.2411531807434635,2020-03-12
35,,,,,,,,2019-11-25
36,0.88650633425137,0.7841213010436857,0.8686011036439786,0.9247642640679022,0.8785926242481311,0.9210076530225142,0.357972133357098,2019-11-24
37,0.8527057836517665,0.7391238581380948,0.8833331207517698,0.9542646642261983,0.8940481477018067,0.9319363359143147,0.3238891621013847,2020-03-15
38,0.8864854633436,0.7965729676356147,0.8827217311592725,0.929972042316389,0.8934564873212406,0.9310853712853356,0.36870585754183427,2020-03-14
39,0.8479057563581721,0.7563428659990008,0.9139534128094502,0.9683909191855813,0.9244996762167171,0.9481142323409171,0.32728005017345807,2019-11-23
40,0.8934745015707792,0.7945379585355232,0.8857041921412625,0.921547518902704,0.8869400940083012,0.9269544230732688,0.41310574108673753,2020-02-15
41,0.8651006289587277,0.7627876445164584,0.9237976088638521,0.9534151754267007,0.9205309273986848,0.9416684012741293,0.36931173891827473,2020-03-13
42,0.8523036194527474,0.7579701974964091,0.8934879982400152,0.9486970982932572,0.9069949811140747,0.9370847730273649,0.3297396571759852,2020-02-21
43,0.8857890318711088,0.7976650180722359,0.8839909520763398,0.9386213327804325,0.8962182248936402,0.937049279490893,0.37139048603473696,2020-01-19
44,0.8384560922224699,0.7369416143605909,0.9176696878968948,0.9559539004653721,0.9221270164904589,0.9395364389111996,0.32947407919560334,2020-02-10
45,0.7898616880754061,0.7081165422870345,0.8686931994982999,0.9446839025157369,0.9007222525139202,0.9322446202651796,0.2697606643696391,2019-11-26
46,,,,,,,,2020-03-12
47,0.8727339035278304,0.7922243293671857,0.9027583518802066,0.9481914541850174,0.9238528284515217,0.9553878737859324,0.36321377670773397,2019-11-25
