,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
5853,0.3125223,0.29178098,0.2937873,0.32288337,0.29781336,0.2881257,0.30607498,2020-01-24
5854,0.30680716,0.35373312,0.31936795,0.29888326,0.30995375,0.26927686,0.36048156,2019-11-04
5855,0.2516847,0.25226647,0.26864833,0.23737434,0.22650644,0.26784402,0.24840145,2020-03-27
5856,0.27477401,0.30441135,0.30612546,0.27778482,0.28626767,0.2325556,0.29174608,2019-11-11
5857,0.28683278,0.29070702,0.2610712,0.30457819,0.26438084,0.30381298,0.30008346,2019-11-20
5858,0.6865752,0.6747991,0.6821049,0.6653794,0.66137516,0.6365411,0.7025549,2020-03-31
5859,0.4190209,0.37829328,0.37212425,0.37851068,0.407838,0.31063646,0.35793942,2020-02-01
5860,0.3869319,0.36647645,0.39439106,0.3244908,0.36033303,0.36556745,0.38466164,2020-03-01
5861,0.27671716,0.23388518,0.22675148,0.22347383,0.2459064,0.23339188,0.27885896,2019-11-18
5862,0.25720504,0.27174985,0.23127952,0.24129245,0.2579554,0.22457385,0.28935745,2020-03-08
5863,0.25250173,0.25800103,0.24482593,0.29290187,0.27401906,0.18159637,0.2742449,2020-01-23
5864,0.75493115,0.7178198,0.7519084,0.7395954,0.71741104,0.6732296,0.7562425,2020-01-24
5865,0.80081767,0.7841191,0.7961025,0.7619201,0.7644459,0.71312153,0.79862654,2019-11-04
5866,0.2970295,0.30322194,0.28421763,0.3011753,0.27956536,0.34130132,0.3007103,2020-03-27
5867,0.31948844,0.2781693,0.30753285,0.28568897,0.33631986,0.26675615,0.3175345,2019-11-11
5868,0.33792648,0.39739782,0.32543445,0.34254536,0.32127386,0.30619448,0.39803794,2019-11-20
5869,0.6905444,0.66052955,0.68822384,0.6691514,0.6782848,0.6349215,0.67599,2020-03-31
5870,0.36449733,0.3637249,0.39874262,0.3307096,0.3589028,0.32096604,0.3638152,2020-02-01
5871,0.34340835,0.31962097,0.35119224,0.34712833,0.37038785,0.31385094,0.34059036,2020-03-01
5872,0.2905828,0.30199528,0.29212362,0.32202584,0.32061303,0.30486417,0.3060965,2019-11-18
5873,0.34070253,0.33163565,0.30558228,0.32822502,0.3540595,0.31147718,0.3434186,2020-03-08
5874,0.32491082,0.29793894,0.29992682,0.2790166,0.27830747,0.26422873,0.3193916,2020-03-29
5875,0.82925487,0.80496174,0.8131484,0.8046845,0.8079234,0.7406169,0.834664,2020-01-23
5876,0.7801621,0.7626141,0.78712964,0.75872,0.76731193,0.6991087,0.7868604,2020-01-24
5877,0.23960787,0.25562525,0.27788693,0.23730564,0.27023578,0.22007778,0.25355557,2019-11-04
5878,0.45223424,0.40504655,0.4281463,0.4452667,0.4392166,0.44632483,0.4154191,2020-03-27
5879,0.280015,0.29288167,0.27644098,0.2937269,0.3025149,0.24964386,0.3086862,2019-11-11
5880,0.33073527,0.29734004,0.32472318,0.31420037,0.3191801,0.33862972,0.33219784,2019-11-20
5881,0.35399568,0.3608198,0.36287683,0.37134838,0.35738346,0.304306,0.35376006,2020-03-31
5882,0.24966547,0.25298157,0.25755495,0.261378,0.23921318,0.20910645,0.24642068,2020-02-01
5883,0.36185706,0.31336507,0.34726125,0.37114573,0.33091065,0.30915454,0.34872228,2020-03-01
5884,0.37517333,0.32656837,0.36101753,0.3463025,0.33785176,0.2717051,0.3620232,2019-11-18
5885,0.32150137,0.3036053,0.32968193,0.25569075,0.32458287,0.26408365,0.34042767,2020-03-08
5886,0.41955307,0.44288254,0.4375041,0.43198854,0.40911922,0.40925628,0.43046778,2020-03-29
5887,0.8249605,0.7812201,0.7963224,0.7813051,0.8088474,0.7371605,0.8272882,2020-01-23
5888,0.39763883,0.41678637,0.3860714,0.39787865,0.39640963,0.33311808,0.38915157,2020-01-24
5889,0.2890415,0.3305464,0.32323998,0.31027532,0.3241305,0.2969507,0.34018677,2019-11-04
5890,0.6632376,0.6563401,0.62968206,0.62521946,0.6659682,0.5936768,0.6718835,2020-03-27
5891,0.34338897,0.31814432,0.28706402,0.33737066,0.3468022,0.3177461,0.34384817,2019-11-11
5892,0.3297313,0.32192832,0.37045646,0.35293925,0.35521162,0.37579453,0.37681794,2019-11-20
5893,0.37119633,0.293732,0.35140395,0.36403063,0.33616912,0.3162904,0.33881623,2020-03-31
